geo,year,life_expectancy
MT,2005,79.4
MT,2006,79.5
MT,2007,79.9
MT,2008,79.7
MT,2009,80.4
MT,2010,81.5
MT,2011,80.9
MT,2012,
MT,2013,81.8
MT,2014,82.0
MT,2015,81.9
MT,2016,82.4
MT,2017,82.3
MT,2018,82.3
MT,2019,82.7
MT,2020,82.1
MT,2021,82.3
MT,2022,82.3
MT,2023,83.4
MT,2024,83.0
NL,1960,
NL,1961,
NL,1962,
NL,1963,
NL,1964,
NL,1965,
NL,1966,
NL,1967,
NL,1968,
NL,1969,
NL,1970,
NL,1971,
NL,1972,
NL,1973,
NL,1974,
NL,1975,
NL,1976,
NL,1977,
NL,1978,
NL,1979,
NL,1980,
NL,1981,
NL,1982,
NL,1983,
NL,1984,
NL,1985,76.5
NL,1986,76.4
NL,1987,76.9
NL,1988,77.1
NL,1989,76.9
NL,1990,77.1
NL,1991,77.2
NL,1992,77.4
NL,1993,77.1
NL,1994,77.6
NL,1995,77.6
NL,1996,77.6
NL,1997,78.0
NL,1998,78.1
NL,1999,78.0
NL,2000,78.2
NL,2001,78.4
NL,2002,78.5
NL,2003,78.7
NL,2004,79.3
NL,2005,79.6
NL,2006,80.0
NL,2007,80.4
NL,2008,80.5
NL,2009,80.9
NL,2010,81.0
NL,2011,81.3
NL,2012,81.2
NL,2013,81.4
NL,2014,81.8
NL,2015,81.6
NL,2016,81.7
NL,2017,81.8
NL,2018,81.9
NL,2019,82.2
NL,2020,81.4
NL,2021,81.4
NL,2022,81.7
NL,2023,81.9
NL,2024,81.9
PL,1960,
PL,1961,
PL,1962,
PL,1963,
PL,1964,
PL,1965,
PL,1966,
PL,1967,
PL,1968,
PL,1969,
PL,1970,
PL,1971,
PL,1972,
PL,1973,
PL,1974,
PL,1975,
PL,1976,
PL,1977,
PL,1978,
PL,1979,
PL,1980,
PL,1981,
PL,1982,
PL,1983,
PL,1984,
PL,1985,
PL,1986,
PL,1987,
PL,1988,
PL,1989,
PL,1990,70.7
PL,1991,70.4
PL,1992,71.0
PL,1993,71.5
PL,1994,71.8
PL,1995,72.0
PL,1996,72.3
PL,1997,72.7
PL,1998,73.1
PL,1999,73.1
PL,2000,73.8
PL,2001,74.2
PL,2002,74.5
PL,2003,74.7
PL,2004,74.9
PL,2005,75.0
PL,2006,75.3
PL,2007,75.4
PL,2008,75.6
PL,2009,75.9
PL,2010,76.4
PL,2011,76.8
PL,2012,76.9
PL,2013,77.1
PL,2014,77.8
PL,2015,77.5
PL,2016,78.0
PL,2017,77.8
PL,2018,77.7
PL,2019,78.0
PL,2020,76.4
PL,2021,75.4
PL,2022,77.2
PL,2023,78.4
