freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,M,Y45-49,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	150228.0 	153270.0 	155335.0 	155343.0 	156364.0 	152139 	148004 	: 	140214 	116000 	113900 	114500 	114670 	114750 	115433 	116042 	114543 	114210 	115143 	115911 
A,NR,M,Y45-49,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	165416 	168883 	168071 	167136 	165022.0 	163064.0 	161052.0 	159956.0 	157814.0 	154650.0 	153318 	151811 	149571 	146864 	143672 	137739 	133753 	130442 	129300 	129174 	129773 	129664 	130400 	132250 	135216 
A,NR,M,Y45-49,HU	337503 	315214 	282998 	247078 	213509 	208076 	229433 	264823 	300389 	338055 	345653 	351128 	350233 	348121 	346631 	348272 	346933 	343617 	341987 	337568 	331180 	321826 	314125 	307577 	302658 	300508 	304698 	310000 	318071 	323925 	328144 	325194 	324881 	329443 	337015 	340330 	355541 	366950 	369286 	377845 	393490 	400402 	404528 	399202 	383556 	357226.0 	336892.0 	319163.0 	307222.0 	299814.0 	295749.0 	292449 	299063 	311651 	325235 	338907 	351302 	359118 	362995 	365926 	381934 	400613 	416738 	429096 	435301 	423387 
A,NR,M,Y45-49,IE	89000 	89000 	88200 	87300 	86300 	85200 	83900 	83000 	82000 	81100 	80300 	79600 	79400 	79300 	79200 	79100 	78900 	78600 	78200 	77900 	77705 	77800 	78700 	79800 	81000 	82254 	82700 	83050 	85274 	87291 	89920 	94250 	99818 	104634 	108578 	111627 	113447 	114594 	116249 	117347 	119262 	121759 	124335 	126386 	128955 	132052.0 	136119.0 	140227.0 	143633.0 	147011.0 	149536.0 	151213 	152603 	153855 	155718 	157866 	161492 	165487 	170169 	174940 	179478 	182214 	185953 	189268 	192203 	197818 
A,NR,M,Y45-49,IS	4360 	4417 	4535 	4613 	4680 	4709 	4846 	5016 	5096 	5209 	5315 	5344 	5321 	5434 	5498 	5621 	5723 	5833 	5837 	5770 	5688 	5495 	5343 	5295 	5276 	5237 	5242 	5333 	5562 	5883 	6255 	6761 	7216 	7559 	7872 	8158 	8495 	8659 	8859 	9210 	9422 	9520 	9895 	10142 	10250 	10528.0 	11155.0 	11680.0 	11757.0 	11573.0 	11147.0 	10931 	10915 	10666 	10515 	10426 	10251 	10386 	11119 	11687 	12007 	12207 	12560 	12831 	12322 	12732 
A,NR,M,Y45-49,IT	1684300 	1658300 	1577200 	1425700 	1265300 	1166100 	1208600 	1306100 	1453800 	1622600 	1747900 	1742100 	1751980 	1772304 	1778105 	1772133 	1803525 	1804431 	1790022 	1784503 	1783353 	1760289 	1745611 	1751838 	1774914 	1804187 	1830827 	1832964 	1817313 	1777148 	1725388 	1662277 	1734308 	1796101 	1866028 	1919217 	1978432 	1933265 	1892116 	1847862 	1836943 	1834621 	1854371 	1885603 	1924457 	1968841 	2014075 	2066215 	2126614 	2196654 	2276433 	2340009 	2389457 	2428487 	2448230 	2434839 	2415488 	2399270 	2386913 	2372986 b	2356800 	2329457 	2293863 	2238651 	2179772 	2094596 
A,NR,M,Y45-49,LI	490 	489 	495 	478 	476 	496 	491 	523 	579 	603 	: 	591 	: 	547 	561 	557 	568 	570 	578 	617 	631 	623 	602 	656 	649 	702 	778 	831 	882 	1017 	1060 	1075 	1124 	1154 	1179 	1194 	1229 	1239 	1197 	1223 	1204 	1244 	1283 	1343 	1357 	1364.0 	1398.0 	1416.0 	1446.0 	1474.0 	1509.0 	1516 	1526 	1538 	1574 	1589 	1624 	1601 	1555 	1514 	1469 	1364 	1357 	1374 	1335 	1351 
A,NR,M,Y45-49,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74570 	77902 	80334 	85339 	91204 	96918 	102694 	106701 	107967 	107206 	105938 	105169 	105865 	105480 	105224 	106379 	106175 	106636 	108231 	106998 	103321 	102159 	97309 	93484 	93266 	96694 	97755 	99864 	102062 	101870 	102059 	103175 	103830 	106328 	111189 	115435.0 	118470.0 	121914.0 	122232.0 	120465.0 	116956.0 	111656 	107123 	104020 	102256 	101129 	100479 	100052 	99115 	97568 	96512 	93631 	91871 	93206 	: 	97165 
A,NR,M,Y45-49,LU	11111 	11176 	: 	: 	: 	8888 	: 	9001 	: 	: 	9660 	9680 	10235 	11058 	11888 	12960 	13619 	13806 	13581 	13225 	12637 	12192 	11872 	11821 	11767 	11927 	11942 	11767 	11896 	12156 	12209 	12285 	12881 	13262 	13693 	14257 	14822 	14976 	15212 	15337 	15638 	15738 	16114 	16566 	17136 	17582.0 	18116.0 	18708.0 	19223.0 	19862.0 	20628.0 	21351 	22278 	22861 	23219 	23483 	23532 	23850 b	23782 	23741 	23625 	23728 	23737 	24010 	24328 	24535 
A,NR,M,Y45-49,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54790 	58068 	60541 	66253 	71889 	77007 	81901 	84939 	84872 	82945 	80786 	79374 	79679 	80412 	83508 	87337 	88670 	89736 	87907 	84304 	84326 	84045 	69562 	67463 	67833 	69075 	71023 	72897 	73362 	72854 	72816 	72971 	72860 	74266 	76231 	77064.0 	77918.0 	78926.0 	78392.0 	76313.0 	74009.0 	70880 	68362 	66577 	65271 	64561 	64393 	64266 	64411 	64157 	64157 	63622 	62894 	62366 	61686 	59882 
A,NR,M,Y45-49,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1130 	1074 
A,NR,M,Y45-49,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133877.0 	137126.0 	135133.0 	132256.0 	127113.0 	120188 	114672 	110340 	108065 	85843 be	83998 e	84404 e	83228 e	82282 e	81816 e	82419 e	82538 e	80090 ep	76970 ep	76525 ep
A,NR,M,Y45-49,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22359 	22502 	22557 	22633 	22709 	22582.0 	22274.0 	22102.0 	21994.0 	21869.0 	21486.0 	21441 	21258 	20910 	20510 	20328 	19820 	19711 	19712 	19719 	19785 	19972 	19974 	20260 	20849 	21073 
A,NR,M,Y45-49,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53365 	55865 	59269 	62009 	64770 	66047 	68545 	70027 	72118 	73049 	73533 	73761.0 	74152.0 	74023.0 	73512.0 	73587.0 	73785.0 	73765 	74144 	74612 	74485 	74156 	73210 	72793 	72860 	73030 	73101 	74289 	62305 b	62582 	62872 	63333 
A,NR,M,Y45-49,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7331 	6984 	7115 	7302 	7495 	7686 	: 	8367 	8446 	8940 	8475 	8184 	8267 	9317 	10500 b	11962 	13552 	14676 	14784 	15033 	14888 	14585 	14248 	14072 	14324 	14655 	14964 	15060 	15232.0 	15251.0 	15225.0 	15087.0 	14884.0 	14615.0 	14107 	13557 	13017 	12913 	13031 	13465 	14065 	14974 	15863 	17429 	18220 	18893 	20116 	21307 	22240 
A,NR,M,Y45-49,NL	322750 	323965 	327569 	326134 	322397 	319366 	331598 	340916 	349694 	362217 	371079 	367736 	366313 	365594 	365092 	367040 	374300 	378037 	383652 	384866 	387577 	386760 	389401 	391297 	399156 	406234 	416496 	422789 	433139 	445787 	462110 	470146 	517979 	556623 	581165 	596620 	613976 	593093 	581309 	575427 	575390 	578271 	585392 	589999 	596899 	605555.0 	614181.0 	622404.0 	631041.0 	641003.0 	650126.0 	655302 	654971 	652230 	648065 	647318 	646349 	643263 	634188 	616540 	590441 	562979 	540923 	526723 	522183 	521490 
A,NR,M,Y45-49,NO	121908 	122259 	122437 	123029 	123696 	122873 	127134 	128961 	129149 	129781 	130543 	125545 	122716 	119063 	115011 	111501 	109599 	106898 	105318 	102696 	100290 	97283 	96162 	95728 	97292 	99693 	103324 	105206 	109598 	115285 	123450 	131773 	144667 	153201 	158961 	160358 	160535 	156524 	155051 	154309 	154650 	155674 	157643 	158547 	159632 	161207.0 	162013.0 	163161.0 	165866.0 	168529.0 	171934.0 	176233 	181291 	185288 	189552 	192502 	193681 	194302 	195200 	194074 	192831 	190410 	187044 	183024 	181909 	181015 
A,NR,M,Y45-49,PL	794000 	: 	: 	: 	: 	580200 	: 	: 	: 	: 	866400 	: 	: 	: 	: 	1031070 	: 	: 	: 	: 	1079495 	: 	: 	: 	: 	1008815 	: 	: 	: 	: 	872541 	856126 	914024 	1004291 	1113731 	1220442 	1340339 	1405637 	1455562 	1488646 	1493625 	1518843 	1531790 	1540591 	1541606 	1528511.0 	1486330.0 	1431490.0 	1368044.0 	1307883.0 	1262505.0 	1220896 	1190873 	1169058 	1152542 	1145166 	1152455 	1170323 	1200621 	1238904 	1284596 	1307513 bep	1353314 ep	1388104 ep	1416156 ep	1442490 ep
A,NR,M,Y45-49,PT	249800 	243551 	241010 	234170 	229340 	219400 	225800 	228160 	234760 	240260 	249370 	243984 	238190 	231100 	232150 	241050 	266440 	266520 	271630 	272660 	275560 	277654 	275419 	273056 	272764 	272400 	267746 	261985 	261147 	261816 	265069 	274509 	279940 	285244 	294166 	301580 	306710 	314714 	321967 	322368 	325821 	330846 	333344 	338024 	343946 	348118.0 	354182.0 	360529.0 	365464.0 	369880.0 	375975.0 	377868 	375781 	372399 	369114 	364646 	363276 	364956 	368332 	370735 	376331 	382134 	387023 	393300 	394465 	392447 
A,NR,M,Y45-49,RO	: 	: 	: 	: 	: 	: 	: 	: 	509978 	551122 	592369 	621416 	663876 	685370 	701227 	713999 	730290 	740280 	746112 	746060 	747631 	739952 	748546 	740722 	743744 	740328 	729244 	697767 	664263 	628804 	609852 	579448 	580319 	588517 	614408 	654468 	707493 	730214 	758219 	774179 	776141 	786449 	785592 	778482 	772896 	763434.0 	706770.0 	695957.0 	624198.0 	562757.0 	555573.0 	549784 	541458 	631016 	719080 	783163 	838278 	882122 	827005 	775480 	762905 e	757067 e	747684 e	758248 e	771926 e	767955 e
A,NR,M,Y45-49,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	309277 	314226 	311602 	312107 	298463 	286821 	273364.0 	265360.0 	258696.0 	255278.0 	250426.0 	245049.0 	243341 	238232 	235183 	232659 	232782 	231102 	232022 	232402 	235231 	237361 	241035 	243425 	239738 b	240729 	240198 
A,NR,M,Y45-49,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5683585.0 	5688291.0 	5631975.0 	5509497.0 	5308734.0 	5039255 	: 	: 	4364324 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,M,Y45-49,SE	272370 	268829 	266303 	263158 	259589 	257013 	267150 	272847 	273876 	275319 	275353 	264525 	254866 	247766 	241758 	235954 	231634 	228315 	226168 	221828 	219665 	217922 	218544 	220774 	226778 	234486 	240541 	247531 	260326 	276414 	294955 	314089 	330647 	338709 	341016 	337109 	330007 	319836 	311369 	304473 	298247 	295443 	296981 	297221 	296474 	297580.0 	296777.0 	296405.0 	299074.0 	305243.0 	315776.0 	327013 	337234 	345039 	346209 	341083 	336401 	334272 	332859 	333690 	338208 	338455 	335412 	332100 	328040 	324016 
A,NR,M,Y45-49,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61271 	60651 	60398 	60535 	60820 	62402 	63249 	63441 	62600 	59321 	59462 	60396 	61608 	64861 	70104 	73877 	76822 	79289 	81703 	82395 	83542 	82596 	81295 	80375.0 	79207.0 	78471.0 	78290.0 	79317.0 	79697.0 	80025 	80325 	79504 	79170 	78273 	76463 	75371 	75406 	76523 	78050 	80250 	81375 	82681 	84406 	86025 
A,NR,M,Y45-49,SK	115166 	118224 	106605 	92849 	79565 	79171 	86879 	104048 	121513 	139955 	143635 	144588 	143234 	141326 	138586 	137705 	138429 	138582 	138643 	137095 	134976 	131724 	127883 	124612 	123297 	123174 	124631 	127169 	129058 	131009 	133544 	133433 	135283 	142661 	151285 	159080 	171694 	183318 	191015 	197132 	203102 	204319 	205488 	205535 	204443 	201586.0 	198447.0 	194575.0 	190335.0 	188841.0 	189283.0 	187860 	185815 	183798 	179988 	177702 	177516 	179698 	185074 	193358 	202457 	210693 	219485 	225951 	229644 	231172 
A,NR,M,Y45-49,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1502 	1538 	: 	: 	: 	: 	1496 	: 	: 	: 	: 	: 	: 	: 
A,NR,M,Y45-49,TR	596139 	558728 	524427 	492954 	464053 	437491 	470266 	505863 	544554 	586634 	632435 	671792 	714242 	760074 	809609 	863201 	886660 	915056 	948666 	987814 	1032868 	1017481 	1003928 	992189 	982255 	974121 	996507 	1019557 	1043295 	1067740 	1092922 	1160556 	1184573 	1214086 	1252119 	1302152 	1363682 	1437218 	1519733 	1604733 	1685711 	1671000 b	1740000 	1809000 	1875000 	1939000.0 	1998000.0 	2053000.0 	2057626.0 	2153427.0 	2241542.0 	2358913 	2405435 	2368340 	2389852 	2375494 	2337087 	2412875 	2556364 	2670183 	2772838 	2788035 	2838766 	2893831 	2932767 	2979015 
A,NR,M,Y45-49,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1711474.0 	1716437.0 	1705578.0 	1674495.0 	1627904.0 	1555269 	1500407 	1450559 	1414222 	1323604 	1341012 	1356894 	1381886 	1393202 	1414863 	1420874 	1431488 	: 	: 	: 
A,NR,M,Y45-49,UK	1800000 	1800000 	1800000 	1700000 	1600000 	1600000 	1650500 	1712500 	1774300 	1836000 	1828500 	1769500 	1726830 	1693742 	1668175 	1647624 	1631304 	1615970 	1600714 	1583694 	1568467 	1555443 	1548204 	1554891 	1570579 	1582425 	1577854 	1571241 	1586603 	1623191 	1667730 	1722976 	1828616 	1938469 	1992982 	2020520 	2033151 	1987958 	1913626 	1875377 	1858412 	1857721 	1872136 	1900361 	1940070 	1986301.0 	2040649.0 	2093641.0 	2143086.0 	2195022.0 	2247173.0 	2286310 	2306390 	2311777 	2306726 	2292537 	2279668 	2266013 	2239582 	2199183 	: 	: 	: 	: 	: 	: 
A,NR,M,Y5-9,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1651 	1641 	1690 	1690 	1610 	1620 	1655 	1637 	1663 	1697 	1714 	1737 	1795 	1830 	1793 	1803 	1796 	1813 	1904 	2050.0 	2157.0 	2263.0 	2285.0 	2282.0 	2209.0 	2139 	2139 	2085 	: 	: 	: 	: 	: 	1912 	: 	: 	: 	: 	: 	: 
A,NR,M,Y5-9,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	152669 	148801 	145300 	141647.0 	136134.0 	132861.0 	125518.0 	121449.0 	114796.0 	107375 	103662 	98230 	94391 	90100 	87364 	85561 	84180 	83414 	83364 	81708 	: 	77259 	: 	61722 
A,NR,M,Y5-9,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111799.0 	107675.0 	100928.0 	97718.0 	96574.0 	: 	: 	: 	: 	106165 	109092 	110525 	111816 	112123 	111635 	110685 	: 	: 	101922 	: 
A,NR,M,Y5-9,AT	245339 	246663 	255618 	265387 	274790 	285611 	295328 	304812 	313044 	320666 	326513 	329376 	329035 	327676 	325260 	318240 	308190 	298641 	286940 	271234 	258465 	248779 	239282 	229335 	223646 	219398 	220017 	224030 	229403 	233114 	236699 	237013 	237262 	237278 	238192 	238107 	239100 	241851 	244314 	244944 	244991 	241963 	238763 	233941 	228717 	223474.0 	219821.0 	213968.0 	211206.0 	208906.0 	208795.0 	207586 	207850 	206478 	207158 	206627 	210666 	213075 	215722 	216360 	219209 	220987 	224192 	230525 	233589 	234400 
A,NR,M,Y5-9,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320600.0 	303100.0 	296500.0 	302500.0 	338606.0 	334147 	332063 	331024 	341065 	357141 	380542 	409524 	435140 	445806 	454797 	454180 	444501 	391904 	376455 	364197 
A,NR,M,Y5-9,BE	358063 	364591 	370714 	374772 	380479 	387289 	391970 	397131 	399481 	402245 	404543 	403194 	399611 	394018 	385297 	375101 	368226 	362698 	357283 	350513 	340781 	328730 	320936 	312856 	308719 	307849 	309385 	310823 	313327 	312690 	308964 	305153 	303101 	302997 	305231 	308913 	313759 	317890 	320953 	320397 	317666 	312335 	307745 	303988 	301694 	300733.0 	302269.0 	302160.0 	301395.0 	301683.0 	304872.0 	310560 	315140 	321121 	328056 	333280 	338904 	341304 	342448 	340923 	339826 	335723 	332400 	331663 	328723 	325229 
A,NR,M,Y5-9,BG	357118 	345120 	345280 	339287 	332859 	333681 	336381 	332984 	331134 	328200 	324823 	323692 	316881 	312732 	318192 	325828 	328449 	334604 	337774 	333648 	334922 	343133 	348323 	353470 	353965 	352034 	337643 	329319 	321970 	314996 	296810 	291489 	285530 	277611 	274411 	269873 	264974 	255408 	246276 	235164 	222879 	209130 	186676 	174119 	166020 	163661.0 	163745.0 	161892.0 	163677.0 	164308.0 	163290.0 	162949 	165639 	173433 	175266 	177509 	177485 	175469 	170757 	164754 	158915 	156772 	156000 	156208 	157070 	155892 
A,NR,M,Y5-9,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234811.0 	233649.0 	233755.0 	231645.0 	: 	226109 	228526 	236042 	246370 	258189 	268468 	276916 	284645 	290939 	: 	: 	: 	: 	: 	: 
A,NR,M,Y5-9,CH	209700 	209737 	216332 	220931 	225518 	230227 	234282 	238521 	243303 	249337 	255078 	260253 	264192 	264302 	261662 	256886 	248098 	238615 	229884 	221208 	213316 	204853 	197262 	191976 	187687 	185104 	185519 	187503 	189158 	191708 	194280 	195716 	199253 	202447 	207166 	210458 	215289 	218659 	221160 	220842 	220348 	217222 	213347 	210796 	208927 	206875.0 	203679.0 	200009.0 	198262.0 	197013.0 	196406.0 	196612 	197991 	199958 	204230 	208148 	212219 	215898 	219276 	221007 	223597 	226409 	229032 	230782 	236158 	236670 
A,NR,M,Y5-9,CY	: 	34836 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31218 	: 	: 	20387 	: 	: 	: 	: 	: 	20762 	20839 	21405 	21832 	23052 	23937 	24992 	25948 	26198 	26611 	27092 	27607 	27687 	27620 	27690 	27862 	28359 	28292 	28166 	27803 	27425 	26451 	25638 	24576.0 	23773.0 	23096.0 	22704.0 	22442.0 	22632.0 	22645 	23186 	23438 	23567 	24002 	24414 	24239 	24633 	24664 	24893 	24679 	25069 	24745 	24561 	24642 
A,NR,M,Y5-9,CZ	438278 	428978 	420927 	410772 	396753 	378317 	360953 	345881 	334964 	338362 	350820 	356820 	361511 	363971 	358254 	352737 	353034 	360141 	373240 	396444 	422207 	443577 	460433 	469552 	467980 	457316 	439522 	418355 	398511 	378332 	360764 	348736 	343360 	338465 	335431 	331240 	328482 	327739 	324204 	319698 	309817 	292510 	272683 	257028 	241582 	232412.0 	229935.0 	230584.0 	232860.0 	235456.0 	240586.0 	246616 	255816 	268298 	282780 	294328 	303194 	303559 	299585 	292895 	288812 	280946 b	283568 	299415 	303080 	302748 
A,NR,M,Y5-9,DE	2003205 	2015537 	2026026 	2069700 	2126428 	2196900 	2274769 	2354831 	2417946 	2497485 	2562397 	2583672 	2614075 	2624356 	2596722 	2526407 	2401767 	2263350 	2098292 	1923319 	1778803 	1678484 	1589045 	1524683 	1489924 	1463073 	1480586 	1501623 	1523502 	1557469 	1609455 	2200658 	2229169 	2269151 	2325183 	2364841 	2412127 	2393292 	2337141 	2256310 	2181733 	2089367 	2060980 	2055853 	2044529 	2039986.0 	2035528.0 	2000521.0 	1949974.0 	1904962.0 	1869921.0 	1821310 b	1794595 	1787151 	1789880 	1791964 	1835790 	1857190 	1871418 	1882175 	1914843 	1944171 	1996626 	2024690 b	2061185 	2070476 
A,NR,M,Y5-9,DK	190498 	189591 	190453 	190008 	189049 	188493 	188433 	188494 	189648 	192964 	197683 	203296 	209681 	211914 	208711 	202945 	195502 	189498 	186907 	185700 	185710 	186214 	181187 	174606 	169921 	164105 	156978 	150807 	146676 	141021 	137643 	136280 	138088 	140336 	144752 	149755 	155834 	160942 	166956 	171237 	175268 	178552 	180265 	179960 	178981 	176410.0 	174050.0 	172068.0 	170185.0 	169368.0 	168751.0 	167616 	168229 	168595 	169735 	169791 	170924 	168476 	165691 	160513 	157127 	153879 	154975 	157514 	159866 	161753 
A,NR,M,Y5-9,EE	48316 	48759 	48796 	48931 	49806 	50420 	50930 	51750 	52293 	52196 	52175 	51725 	51049 	49833 	50089 	50097 	51555 	53297 	55177 	55591 	56040 	56210 	56222 	56290 	56265 	56650 	57163 	57831 	58153 	58987 	59729 	59923 	59817 	58648 	57511 	56881 	55749 	53247 	50266 	46270 	42610 	38940 	36500 	34100 	32600 	31880.0 	31880.0 	31650.0 	31830.0 	32240.0 	33040.0 	33610 	34787 	36161 	37680 	38455 b	39323 	39431 	38921 	37955 	37266 	36619 	36658 	38396 	38941 	38912 
A,NR,M,Y5-9,EL	341503 	387065 	354682 	389572 	358665 	392395 	360943 	393543 	358685 	391116 	356066 	367490 	373522 	380984 	387817 	389469 	393095 	390444 	381360 	374284 	368582 	357822 	360824 	362084 	365856 	367200 	375494 	371951 	367225 	360329 	351469 	343816 	328165 	311908 	298449 	287965 	280015 	273170 	271627 	268620 	267591 	265767 	282624 	277169 	276720 	275020.0 	275085.0 	274733.0 	274264.0 	273621.0 	272813.0 	272264 	273924 	274541 	277374 	280498 	280927 	280191 	277694 	271053 	263054 	256724 	238162 b	234308 	230976 	227870 
A,NR,M,Y5-9,ES	1406028 	: 	1413996 	1442097 	1471894 	1503823 	1536908 	1555870 	1576259 	1593746 	1607623 	1648340 	1665578 	1680619 	1682001 	1667809 	1666533 	1669639 	1673447 	1684261 	1697988 	1703867 	1704740 	1692044 	1673860 	1636140 	1585051 	1525573 	1461448 	1386640 	1323746 	1259694 	1203930 	1155567 	1118272 	1086275 	1063806 	1050883 	1043301 	1032151 	1013324 	994871 	980575 	984218 	995652 	1016029.0 	1047668.0 	1084535.0 	1121399.0 	1158304.0 	1185938.0 	1206431 	1233541 	1254375 	1274351 	1277019 	1274057 	1262909 	1245413 	1209616 	1193800 	1172526 	1152040 	1143451 	1129681 	1103846 
A,NR,M,Y5-9,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12099710 	11860481 	11686355 	11584695 	11537694.0 	11554506.0 	11527503.0 	11499661.0 	11480086.0 	11478709.0 	11432072 	11478109 	11593569 	11741036 be	11833310 be	11929322 be	11906969 be	11853132 e	11697888 	11594473 e	11481536 bep	11483695 ep	11478027 bep	11465168 ep	11357483 ep
A,NR,M,Y5-9,FI	227936 	223957 	222169 	217907 	213233 	209168 	204970 	201069 	198983 	199642 	197626 	194431 	192445 	190605 	187338 	181760 	175672 	168774 	161966 	154755 	152727 	153930 	157195 	160826 	164920 	165973 	165243 	164081 	164877 	166324 	167346 	167076 	165997 	162741 	161237 	160466 	161971 	163925 	167130 	167495 	167831 	166231 	164106 	160159 	156323 	152711.0 	149894.0 	147656.0 	146463.0 	146717.0 	147367.0 	147824 	149722 	151706 	153815 	155317 	157405 	157910 	158343 	158005 	156654 	153934 	150340 	146098 	142306 	137179 
A,NR,M,Y5-9,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2037471 	2025533 	2010972 	2023413 	2025474 	2022563 	2011544 	1998042 	1966760 	1946682 	1934056 	1931705 	1931920 	1955935 	1982348.0 	2014334.0 	2037445.0 	2055444.0 	2062934.0 	2069103.0 	2060719 	2074406 	2087105 	2121376 b	2136046 	2145596 	2134461 	2134790 p	2121566 	2106905 	2082491 	2060903 	2024437 p	1996080 p	1967741 p
