geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
BG,2022,4.2,-9.597864028665555,-5.397864028665555
BG,2023,6.4,-6.794505336003015,-0.3945053360030144
BG,2024,6.1,-7.3397159963701695,-1.2397159963701698
BG,2025,,,
CY,1960,,,
CY,1961,-11.3,15.43501532517618,4.1350153251761785
CY,1962,-9.8,15.082479597152284,5.2824795971522835
CY,1963,-3.3,14.72275004318535,11.42275004318535
CY,1964,-8.7,13.694278394534587,4.994278394534588
CY,1965,-4.8,12.994561522773623,8.194561522773622
CY,1966,-5.6,12.23701955495617,6.63701955495617
CY,1967,-3.5,11.416848099145872,7.916848099145872
CY,1968,-2.4,10.709538052509139,8.309538052509138
CY,1969,-1.5,10.05273566249176,8.55273566249176
CY,1970,-1.5,9.48202614379085,7.982026143790851
CY,1971,0.9,9.171664775490356,10.071664775490357
CY,1972,4.9,8.950409244102069,13.85040924410207
CY,1973,0.7,8.789479848934278,9.489479848934277
CY,1974,-30.5,4.684854186265286,-25.815145813734713
CY,1975,-23.7,8.060114692505438,-15.639885307494561
CY,1976,-10.7,10.108881876921902,-0.5911181230780969
CY,1977,-8.4,9.208199356913184,0.8081993569131836
CY,1978,-3.8,10.451807228915662,6.651807228915662
CY,1979,-2.3,11.312587273089965,9.012587273089967
CY,1980,1.6,11.198102016607354,12.798102016607354
CY,1981,9.2,11.257075932071052,20.45707593207105
CY,1982,-8.9,12.280886304736587,3.3808863047365865
CY,1983,1.0,12.155395398219293,13.155395398219293
CY,1984,0.3,12.641152322216746,12.941152322216746
CY,1985,0.4,11.086614524226547,11.486614524226548
CY,1986,0.3,11.222812864369589,11.52281286436959
CY,1987,0.5,9.847736745037103,10.347736745037103
CY,1988,0.5,10.508746209017866,11.008746209017866
CY,1989,8.0,9.666016815563728,17.66601681556373
CY,1990,15.0,10.089844670875134,25.089844670875134
CY,1991,17.7,9.140904825246405,26.840904825246405
CY,1992,16.4,10.201154428431906,26.601154428431904
CY,1993,12.8,9.245338169439192,22.04533816943919
CY,1994,11.0,8.618455977148058,19.61845597714806
CY,1995,9.2,7.644883242769201,16.8448832427692
CY,1996,8.0,7.130526729571726,15.130526729571727
CY,1997,7.2,6.156265899059451,13.356265899059451
CY,1998,6.2,5.105040616692461,11.305040616692462
CY,1999,6.1,5.030298947664389,11.13029894766439
CY,2000,5.7,4.477934009850876,10.177934009850876
CY,2001,6.6,4.7881940910244305,11.388194091024431
CY,2002,7.7,3.848121790574299,11.5481217905743
CY,2003,8.7,4.046404752564031,12.74640475256403
CY,2004,9.7,4.266191538720116,13.966191538720114
CY,2005,11.0,3.844123388448805,14.844123388448805
CY,2006,13.7,4.844001381696288,18.544001381696287
CY,2007,19.9,4.200993249911599,24.100993249911596
CY,2008,21.1,5.1665973235711995,26.2665973235712
